TSP,SO2,PB,CD
42.0,0.16,3.9,0.35
53.0,0.5,9.6,0.3
69.0,0.77,3.6,0.1
62.0,0.36,3.7,0.25
72.0,0.44,7.0,0.1
73.0,0.2,6.2,0.1
69.0,0.29,5.2,0.1
91.0,0.65,7.8,0.26
87.0,0.42,4.9,0.54
65.0,1.09,10.0,0.21
64.0,0.58,14.0,0.32
53.0,0.39,8.5,0.1
56.0,0.43,8.7,0.27
51.0,0.24,8.8,0.1
46.0,0.09,9.8,0.34
68.0,0.41,20.0,0.33
84.0,9.35,21.0,0.24
64.0,0.48,15.0,0.1
55.0,0.64,14.0,0.3
80.0,0.57,9.5,0.4
74.0,0.48,10.0,0.38
75.0,0.2,18.0,0.23
73.0,1.2,6.8,0.44
87.0,0.29,43.0,0.1
50.0,0.64,9.8,0.22
62.0,1.15,11.0,0.23
49.0,0.84,5.2,0.1
91.0,0.56,9.7,0.36
76.0,2.57,9.7,0.32
80.0,2.55,6.2,0.1
47.0,0.68,13.0,0.27
56.0,0.36,8.7,0.1
40.0,0.3,9.9,0.29
56.0,0.38,27.0,0.5
39.0,0.4,13.0,0.2
44.0,0.57,11.0,0.1
48.0,0.42,14.0,0.31
56.0,0.47,13.0,1.1
35.0,0.56,15.0,0.51
21.0,0.43,3.9,0.1
44.0,0.55,21.0,0.43
35.0,1.47,19.0,0.33
41.0,1.28,11.0,0.3
28.0,0.58,10.0,0.3
30.0,0.39,5.5,0.22
36.0,0.38,5.2,0.1
60.0,0.36,9.6,0.22
92.0,0.49,14.0,0.33
80.0,0.34,15.0,0.37
106.0,1.1,14.0,0.23
75.0,0.49,16.0,0.32
63.0,0.7,14.0,0.25
57.0,0.44,8.4,0.28
54.0,0.64,12.0,0.28
67.0,0.19,6.7,0.1
65.0,0.23,9.1,0.26
69.0,0.48,9.8,0.34
54.0,0.41,6.8,0.1
31.0,0.2,7.1,0.1
36.0,0.05,4.9,0.1
32.0,0.05,11.0,0.33
33.0,0.025,7.4,0.1
37.0,0.025,7.2,0.32
55.0,0.07,9.6,0.32
62.0,0.06,10.0,0.21
42.0,0.025,10.0,0.27
42.0,0.025,10.0,0.1
45.0,0.025,7.4,0.24
59.0,0.02,14.0,0.49
61.0,0.02,7.1,0.24
58.0,0.02,9.0,0.27
6.0,0.02,2.0,0.23
33.0,0.47,6.1,0.32
15.0,0.06,4.3,0.1
31.0,0.05,4.9,0.1
36.0,0.02,3.4,0.1
31.0,0.06,4.1,0.1
49.0,0.16,11.0,0.1
33.0,0.12,5.3,0.1
42.0,0.05,5.2,0.1
36.0,1.22,6.2,0.25
32.0,0.24,10.0,0.1
8.0,0.3,7.1,0.21
6.0,0.44,7.3,0.21
27.0,0.12,12.0,0.41
34.0,0.21,17.0,0.58
9.0,0.08,6.6,0.1
4.0,0.06,3.6,0.1
17.0,0.05,7.5,0.25
21.0,0.36,10.0,0.35
22.0,0.17,4.4,0.1
47.0,1.14,7.7,0.23
90.0,1.11,17.0,0.1
31.0,0.51,6.6,0.4
26.0,0.23,2.7,0.1
104.0,1.42,8.7,0.48
59.0,0.78,8.3,0.34
70.0,1.16,14.0,0.26
3.0,0.59,4.9,0.1
3.0,0.21,1.0,0.1
19.0,0.3,1.0,0.1
2.0,0.63,1.0,0.1
4.0,2.88,3.4,0.1
9.0,0.53,5.9,0.28
14.0,0.53,4.7,0.1
12.0,0.76,9.7,0.1
42.0,0.96,16.0,0.47
7.0,0.44,9.9,0.1
7.0,0.5,5.1,0.1
10.0,0.87,3.8,0.1
50.0,1.07,14.0,0.36
47.0,1.38,24.0,0.68
16.0,1.11,10.0,0.34
20.0,0.54,11.0,0.33
12.0,0.26,3.8,0.1
14.0,0.78,6.1,0.36
7.0,0.48,3.5,0.1
19.0,0.49,4.1,0.1
12.0,0.67,1.0,0.1
